bmag CLEAN,vmag CLEAN,PHASE,Phase+DELTA
12.0935,11.8195,0.9958673572,0.9958673572
12.234,11.96,0.9958673572,0.9958673572
12.0072,11.7332,0.4789733121,0.4789733121
12.0108,11.7368,0.4789733121,0.4789733121
12.1258,11.8518,0.9237253534,0.9237253534
12.0668,11.7928,0.9237253534,0.9237253534
12.1864,11.9124,0.9364867555,0.9364867555
12.1894,11.9154,0.9364867555,0.9364867555
12.1106,11.8366,0.3188408682,0.3188408682
12.3469,12.0729,0.3188408682,0.3188408682
11.9676,11.6936,0.3335939058,0.3335939058
12.0044,11.7304,0.3335939058,0.3335939058
12.4013,12.1273,0.3167845052,0.3167845052
12.3221,12.0481,0.3167845052,0.3167845052
11.8682,11.5942,0.6462607051,0.6462607051
11.8663,11.5923,0.6462607051,0.6462607051
11.9563,11.6823,0.9056861183,0.9056861183
11.8974,11.6234,0.9056861183,0.9056861183
12.2355,11.9615,0.4574935274,0.4574935274
12.1766,11.9026,0.4574935274,0.4574935274
11.8811,11.6071,0.8840519818,0.8840519818
12.0723,11.7983,0.7204242182,0.7204242182
12.1812,11.9072,0.7204242182,0.7204242182
13.258,12.984,0.2252240589,0.2252240589
13.2603,12.9863,0.2252240589,0.2252240589
11.8088,11.5348,0.1192939653,0.1192939653
11.8265,11.5525,0.1192939653,0.1192939653
12.4136,12.1396,0.5933778133,0.5933778133
12.3316,12.0576,0.9931338378,0.9931338378
12.268,11.994,0.9931338378,0.9931338378
12.415,12.141,0.5933778133,0.5933778133
12.0191,11.7451,0.9612228639,0.9612228639
12.1102,11.8362,0.9612228639,0.9612228639
12.4208,12.1468,0.4042820156,0.4042820156
12.3897,12.1157,0.4042820156,0.4042820156
12.5086,12.2346,0.2001095399,0.2001095399
12.5157,12.2417,0.2001095399,0.2001095399
12.276,12.002,0.6073939456,0.6073939456
12.2569,11.9829,0.6073939456,0.6073939456
12.1587,11.8847,0.1199711213,0.1199711213
12.1115,11.8375,0.1199711213,0.1199711213
11.991,11.717,0.5806612228,0.5806612228
11.9936,11.7196,0.5806612228,0.5806612228
11.8903,11.6163,0.6949362676,0.6949362676
11.8681,11.5941,0.6949362676,0.6949362676
11.752,11.478,0.5682433778,0.5682433778
11.8484,11.5744,0.5682433778,0.5682433778
12.3919,12.1179,0.5768621788,0.5768621788
12.4413,12.1673,0.5768621788,0.5768621788
11.7315,11.4575,0.0927205736,0.0927205736
12.3017,12.0277,0.0927205736,0.0927205736
12.1771,11.9031,0.6064927305,0.6064927305
12.0754,11.8014,0.6064927305,0.6064927305
12.1946,11.9206,0.0240390359,0.0240390359
12.0707,11.7967,0.9967984466,0.9967984466
11.9865,11.7125,0.9967984466,0.9967984466
12.2764,12.0024,0.0240390359,0.0240390359
12.3,12.026,0.0497311293,0.0497311293
12.3068,12.0328,0.0497311293,0.0497311293
11.6527,11.3787,0.0198964351,0.0198964351
11.6942,11.4202,0.0198964351,0.0198964351
11.8063,11.5323,0.9966241783,0.9966241783
11.8608,11.5868,0.9966241783,0.9966241783
12.0439,11.7699,0.5171330413,0.5171330413
11.9803,11.7063,0.5171330413,0.5171330413
12.2036,11.9296,0.0450707031,0.0450707031
12.0687,11.7947,0.0450707031,0.0450707031
11.6189,11.3449,0.5340320654,0.5340320654
11.5879,11.3139,0.5340320654,0.5340320654
11.5182,11.2442,0.0029924319,0.0029924319
11.7794,11.5054,0.0029924319,0.0029924319
12.1011,11.8271,0.9864369647,0.9864369647
12.1744,11.9004,0.9864369647,0.9864369647
11.8042,11.5302,0.0067815176,0.0067815176
11.5791,11.3051,0.0067815176,0.0067815176
12.1556,11.8816,0.815250946,0.815250946
12.2137,11.9397,0.815250946,0.815250946
12.021,11.747,0.3118004381,0.3118004381
11.9971,11.7231,0.3118004381,0.3118004381
12.2713,11.9973,0.3232523402,0.3232523402
12.2247,11.9507,0.3232523402,0.3232523402
12.523,12.249,0.2645538738,0.2645538738
12.5245,12.2505,0.2645538738,0.2645538738
12.0505,11.7765,0.3085192193,0.3085192193
12.0658,11.7918,0.3085192193,0.3085192193
11.7502,11.4762,0.7640360486,0.7640360486
11.7471,11.4731,0.7640360486,0.7640360486
12.3549,12.0809,0.7911073491,0.7911073491
12.3134,12.0394,0.7911073491,0.7911073491
12.0808,11.8068,0.8145538737,0.8145538737
