"row_id","jd_mid","bmag","plate_id","filename_preview"
"795","2437908.49884","10.9746","8708","LA09207_pre.jpg"
"796","2437909.34028","11.5275","8709","LA09208_pre.jpg"
"797","2437909.34028","11.363","8709","LA09208_pre.jpg"
"798","2437909.36937","11.281","8710","LA09209_pre.jpg"
"799","2437909.36937","11.2757","8710","LA09209_pre.jpg"
"800","2437909.46079","10.8163","8711","LA09210_pre.jpg"
"801","2437909.46079","10.8173","8711","LA09210_pre.jpg"
"802","2437909.49611","10.9356","8712","LA09211_pre.jpg"
"803","2437909.53731","10.7603","8713","LA09212_pre.jpg"
"804","2437934.31565","11.0394","8714","LA09213_pre.jpg"
"805","2437934.31565","11.0507","8714","LA09213_pre.jpg"
"806","2437934.34266","11.4545","8715","LA09214_pre.jpg"
"807","2437934.34266","11.4853","8715","LA09214_pre.jpg"
"808","2437934.3669","11.4851","8716","LA09215_pre.jpg"
"809","2437934.39045","11.3723","8717","LA09216_pre.jpg"
"810","2437934.3669","11.4865","8716","LA09215_pre.jpg"
"811","2437934.39045","11.3709","8717","LA09216_pre.jpg"
"812","2437934.4133","10.9105","8718","LA09217_pre.jpg"
"813","2437934.4133","10.9587","8718","LA09217_pre.jpg"
"814","2437939.32762","10.8926","8719","LA09218_pre.jpg"
"815","2437939.3671","10.8833","8720","LA09219_pre.jpg"
"816","2437939.40381","10.9301","8721","LA09220_pre.jpg"
"817","2437939.3671","10.9129","8720","LA09219_pre.jpg"
"818","2437939.40381","10.9199","8721","LA09220_pre.jpg"
"819","2437939.42666","10.8215","8722","LA09221_pre.jpg"
"820","2437939.32762","10.9283","8719","LA09218_pre.jpg"
"821","2434747.19167","10.7632","49767","plaat1228.jpg"
"822","2434748.17361","11.2134","49777","plaat1238.jpg"
